,driverId,year,date,points
0,1,2009,2009-03-29,0.0
1,1,2009,2009-04-05,1.0
2,1,2009,2009-04-19,3.0
3,1,2009,2009-04-26,5.0
4,1,2009,2009-05-10,0.0
5,1,2009,2009-05-24,0.0
6,1,2009,2009-06-07,0.0
7,1,2009,2009-06-21,0.0
8,1,2009,2009-07-12,0.0
9,1,2009,2009-07-26,10.0
10,1,2009,2009-08-23,8.0
11,1,2009,2009-08-30,0.0
12,1,2009,2009-09-13,0.0
13,1,2009,2009-09-27,10.0
14,1,2009,2009-10-04,6.0
15,1,2009,2009-10-18,6.0
16,1,2009,2009-11-01,0.0
17,1,2010,2010-03-14,15.0
18,1,2010,2010-03-28,8.0
19,1,2010,2010-04-04,8.0
20,1,2010,2010-04-18,18.0
21,1,2010,2010-05-09,0.0
22,1,2010,2010-05-16,10.0
23,1,2010,2010-05-30,25.0
24,1,2010,2010-06-13,25.0
25,1,2010,2010-06-27,18.0
26,1,2010,2010-07-11,18.0
27,1,2010,2010-07-25,12.0
28,1,2010,2010-08-01,0.0
29,1,2010,2010-08-29,25.0
30,1,2010,2010-09-12,0.0
31,1,2010,2010-09-26,0.0
32,1,2010,2010-10-10,10.0
33,1,2010,2010-10-24,18.0
34,1,2010,2010-11-07,12.0
35,1,2010,2010-11-14,18.0
36,1,2011,2011-03-27,18.0
37,1,2011,2011-04-10,4.0
38,1,2011,2011-04-17,25.0
39,1,2011,2011-05-08,12.0
40,1,2011,2011-05-22,18.0
41,1,2011,2011-05-29,8.0
42,1,2011,2011-06-12,0.0
43,1,2011,2011-06-26,12.0
44,1,2011,2011-07-10,12.0
45,1,2011,2011-07-24,25.0
46,1,2011,2011-07-31,12.0
47,1,2011,2011-08-28,0.0
48,1,2011,2011-09-11,12.0
49,1,2011,2011-09-25,10.0
50,1,2011,2011-10-09,10.0
51,1,2011,2011-10-16,18.0
52,1,2011,2011-10-30,6.0
53,1,2011,2011-11-13,25.0
54,1,2011,2011-11-27,0.0
55,1,2012,2012-03-18,15.0
56,1,2012,2012-03-25,15.0
57,1,2012,2012-04-15,15.0
58,1,2012,2012-04-22,4.0
59,1,2012,2012-05-13,4.0
60,1,2012,2012-05-27,10.0
61,1,2012,2012-06-10,25.0
62,1,2012,2012-06-24,0.0
63,1,2012,2012-07-08,4.0
64,1,2012,2012-07-22,0.0
65,1,2012,2012-07-29,25.0
66,1,2012,2012-09-02,0.0
67,1,2012,2012-09-09,25.0
68,1,2012,2012-09-23,0.0
69,1,2012,2012-10-07,10.0
70,1,2012,2012-10-14,1.0
71,1,2012,2012-10-28,12.0
72,1,2012,2012-11-04,0.0
73,1,2012,2012-11-18,25.0
74,1,2012,2012-11-25,0.0
75,1,2013,2013-03-17,10.0
76,1,2013,2013-03-24,15.0
77,1,2013,2013-04-14,15.0
78,1,2013,2013-04-21,10.0
79,1,2013,2013-05-12,0.0
80,1,2013,2013-05-26,12.0
81,1,2013,2013-06-09,15.0
82,1,2013,2013-06-30,12.0
83,1,2013,2013-07-07,10.0
84,1,2013,2013-07-28,25.0
85,1,2013,2013-08-25,15.0
86,1,2013,2013-09-08,2.0
87,1,2013,2013-09-22,10.0
88,1,2013,2013-10-06,10.0
89,1,2013,2013-10-13,0.0
90,1,2013,2013-10-27,8.0
91,1,2013,2013-11-03,6.0
92,1,2013,2013-11-17,12.0
93,1,2013,2013-11-24,2.0
94,1,2014,2014-03-16,0.0
95,1,2014,2014-03-30,25.0
96,1,2014,2014-04-06,25.0
97,1,2014,2014-04-20,25.0
98,1,2014,2014-05-11,25.0
99,1,2014,2014-05-25,18.0
100,1,2014,2014-06-08,0.0
101,1,2014,2014-06-22,18.0
102,1,2014,2014-07-06,25.0
103,1,2014,2014-07-20,15.0
104,1,2014,2014-07-27,15.0
105,1,2014,2014-08-24,0.0
106,1,2014,2014-09-07,25.0
107,1,2014,2014-09-21,25.0
108,1,2014,2014-10-05,25.0
109,1,2014,2014-10-12,25.0
110,1,2014,2014-11-02,25.0
111,1,2014,2014-11-09,18.0
112,1,2014,2014-11-23,50.0
113,1,2015,2015-05-24,15.0
114,1,2015,2015-06-07,25.0
115,1,2015,2015-04-19,25.0
116,1,2015,2015-05-10,18.0
117,1,2015,2015-04-12,25.0
118,1,2015,2015-03-15,25.0
119,1,2015,2015-03-29,18.0
120,1,2015,2015-06-21,18.0
121,1,2015,2015-07-05,25.0
122,1,2015,2015-07-26,8.0
123,1,2015,2015-08-23,25.0
124,1,2015,2015-09-06,25.0
125,1,2015,2015-09-20,0.0
126,1,2015,2015-09-27,25.0
127,1,2015,2015-10-11,25.0
128,1,2015,2015-10-25,25.0
129,1,2015,2015-11-01,18.0
130,1,2015,2015-11-15,18.0
131,1,2015,2015-11-29,18.0
132,1,2016,2016-03-20,18.0
133,1,2016,2016-04-03,15.0
134,1,2016,2016-04-17,6.0
135,1,2016,2016-05-01,18.0
136,1,2016,2016-05-15,0.0
137,1,2016,2016-05-29,25.0
138,1,2016,2016-06-12,25.0
139,1,2016,2016-06-19,10.0
140,1,2016,2016-07-03,25.0
141,1,2016,2016-07-10,25.0
142,1,2016,2016-07-24,25.0
143,1,2016,2016-07-31,25.0
144,1,2016,2016-08-28,15.0
145,1,2016,2016-09-04,18.0
146,1,2016,2016-09-18,15.0
147,1,2016,2016-10-02,0.0
148,1,2016,2016-10-09,15.0
149,1,2016,2016-10-23,25.0
150,1,2016,2016-10-30,25.0
151,1,2016,2016-11-13,25.0
152,1,2016,2016-11-27,25.0
153,1,2017,2017-03-26,18.0
154,1,2017,2017-04-09,25.0
155,1,2017,2017-04-16,18.0
156,1,2017,2017-04-30,12.0
157,1,2017,2017-05-14,25.0
158,1,2017,2017-05-28,6.0
159,1,2017,2017-06-11,25.0
160,1,2017,2017-06-25,10.0
161,1,2017,2017-07-09,12.0
162,1,2017,2017-07-16,25.0
163,1,2017,2017-07-30,12.0
164,1,2017,2017-08-27,25.0
165,1,2017,2017-09-03,25.0
166,1,2017,2017-09-17,25.0
167,1,2017,2017-10-01,18.0
168,1,2017,2017-10-08,25.0
169,1,2017,2017-10-22,25.0
170,1,2017,2017-10-29,2.0
171,1,2017,2017-11-12,12.0
172,1,2017,2017-11-26,18.0
173,1,2018,2018-03-25,18.0
174,1,2018,2018-04-08,15.0
175,1,2018,2018-04-15,12.0
176,1,2018,2018-04-29,25.0
177,1,2018,2018-05-13,25.0
178,1,2018,2018-05-27,15.0
179,1,2018,2018-06-10,10.0
180,1,2018,2018-06-24,25.0
181,1,2018,2018-07-01,0.0
182,1,2018,2018-07-08,18.0
183,1,2018,2018-07-22,25.0
184,1,2018,2018-07-29,25.0
185,1,2018,2018-08-26,18.0
186,1,2018,2018-09-02,25.0
187,1,2018,2018-09-16,25.0
188,1,2018,2018-09-30,25.0
189,1,2018,2018-10-07,25.0
190,1,2018,2018-10-21,15.0
191,1,2018,2018-10-28,12.0
192,1,2018,2018-11-11,25.0
193,1,2018,2018-11-25,25.0
194,1,2019,2019-03-17,18.0
195,1,2019,2019-03-31,25.0
196,1,2019,2019-04-14,25.0
197,1,2019,2019-04-28,18.0
198,1,2019,2019-05-12,26.0
199,1,2019,2019-05-26,25.0
200,1,2019,2019-06-09,25.0
201,1,2019,2019-06-23,25.0
202,1,2019,2019-06-30,10.0
203,1,2019,2019-07-14,26.0
204,1,2019,2019-07-28,2.0
205,1,2019,2019-08-04,25.0
206,1,2019,2019-09-01,18.0
207,1,2019,2019-09-08,16.0
208,1,2019,2019-09-22,12.0
209,1,2019,2019-09-29,26.0
210,1,2019,2019-10-13,16.0
211,1,2019,2019-10-27,25.0
212,1,2019,2019-11-03,18.0
213,1,2019,2019-11-17,6.0
214,1,2019,2019-12-01,26.0
215,1,2020,2020-07-05,12.0
216,1,2020,2020-07-12,25.0
217,1,2020,2020-07-19,26.0
218,1,2020,2020-08-02,25.0
219,1,2020,2020-08-09,19.0
220,1,2020,2020-08-16,25.0
221,1,2020,2020-08-30,25.0
222,1,2020,2020-09-06,7.0
223,1,2020,2020-09-13,26.0
224,1,2020,2020-09-27,15.0
225,1,2020,2020-10-11,25.0
226,1,2020,2020-10-25,26.0
227,1,2020,2020-11-01,26.0
228,1,2020,2020-11-15,25.0
229,1,2020,2020-11-29,25.0
230,1,2020,2020-12-06,0.0
231,1,2020,2020-12-13,15.0
232,1,2021,2021-04-18,19.0
233,1,2021,2021-03-28,25.0
234,1,2021,2021-11-21,25.0
235,1,2021,2021-05-02,25.0
236,1,2021,2021-05-09,25.0
237,1,2021,2021-05-23,7.0
238,1,2021,2021-06-06,0.0
239,1,2021,2021-06-27,19.0
240,1,2021,2021-06-20,18.0
241,1,2021,2021-07-04,12.0
242,1,2021,2021-07-18,25.0
243,1,2021,2021-08-01,18.0
244,1,2021,2021-08-29,7.5
245,1,2021,2021-09-05,19.0
246,1,2021,2021-09-12,0.0
247,1,2021,2021-09-26,25.0
248,1,2021,2021-10-10,10.0
249,1,2021,2021-10-24,19.0
250,1,2021,2021-11-07,18.0
251,1,2021,2021-11-14,25.0
252,1,2021,2021-12-05,26.0
253,1,2021,2021-12-12,18.0
